Job Title Numeric	Years of Experience in Months	P_Score	C_Rating	Training Program	Reward	Next Years of Experience in Months	Next P_Score	Next C_Rating
0	0	1.0	4.0	No Training	-1.0	1	1.0	3.0
0	1	1.0	3.0	No Training	0.0	2	1.0	3.0
0	2	1.0	3.0	No Training	0.0	3	1.0	3.0
0	3	1.0	3.0	DevOps and Continuous Integration/Continuous Deployment (CI/CD)	0.0	4	1.0	3.0
0	4	1.0	3.0	No Training	1.0	5	2.0	3.0
0	5	2.0	3.0	No Training	0.0	6	2.0	3.0
0	6	2.0	3.0	Leadership and Management Training	2.0	7	3.0	4.0
0	7	3.0	4.0	No Training	0.0	8	3.0	4.0
0	8	3.0	4.0	No Training	0.0	9	3.0	4.0
0	9	3.0	4.0	No Training	-1.0	10	2.0	4.0
0	10	2.0	4.0	No Training	0.0	11	2.0	4.0
0	11	2.0	4.0	No Training	-1.0	12	1.0	4.0
0	12	1.0	4.0	No Training	0.0	13	1.0	4.0
0	13	1.0	4.0	No Training	1.0	14	2.0	4.0
0	14	2.0	4.0	Soft Skills and Communication	-1.0	15	1.0	4.0
0	15	1.0	4.0	No Training	1.0	16	2.0	4.0
0	16	2.0	4.0	No Training	0.0	17	2.0	4.0
0	17	2.0	4.0	No Training	0.0	18	2.0	4.0
0	18	2.0	4.0	DevOps and Continuous Integration/Continuous Deployment (CI/CD)	2.0	19	4.0	4.0
0	19	4.0	4.0	No Training	-1.0	20	3.0	4.0
0	20	3.0	4.0	No Training	1.0	21	3.0	5.0
0	21	3.0	5.0	No Training	0.0	22	3.0	5.0
0	22	3.0	5.0	No Training	-1.0	23	3.0	4.0
0	23	3.0	4.0	No Training	0.0	24	3.0	4.0
0	24	3.0	4.0	No Training	1.0	25	4.0	4.0
0	25	4.0	4.0	No Training	2.0	26	5.0	5.0
0	26	5.0	5.0	No Training	0.0	27	5.0	5.0
0	27	5.0	5.0	No Training	-1.0	28	4.0	5.0
0	28	4.0	5.0	No Training	-1.0	29	4.0	4.0
0	29	4.0	4.0	No Training	2.0	30	5.0	5.0
0	30	5.0	5.0	No Training	0.0	31	5.0	5.0
